Year	Month	Quantity	Unit
2021	january	0	kg
2021	feburary	0	kg
2021	march	0	kg
2021	april	0	kg
2021	may	 0,75 	kg
2021	june	0	kg
2021	july	0	kg
2021	august	0	kg
2021	september	0	kg
2021	october	 0,85 	kg
2021	november	 0,97 	kg
2021	december	 0,86 	kg
2022	january	0	kg
2022	feburary	 2,63 	kg
2022	march	 3,66 	kg
2022	april	 5,35 	kg
2022	may	 3,80 	kg
2022	june	 2,58 	kg
2022	july	 19,43 	kg
2022	august	 2,35 	kg
2022	september	 10,54 	kg
2022	october	 8,04 	kg
2022	november	0	kg
2022	december	0	kg
